 Observation           Group         Measured          Modelled        Sensitivity
 hed1                  head           734.0000          735.7968         0.2446525    
 hed2                  head           735.2470          734.9453         0.6881727    
 hed3                  head           734.7760          734.4197          1.124325    
 hed4                  head           734.3900          734.4307         0.6754193    
 hed5                  head           734.0000          735.6403         0.1321158    
 hed6                  head           729.1700          732.2993         0.1288200    
 hed7                  head           730.0570          733.5872          2.031288    
 hed8                  head           730.4870          728.5661          1.738324    
 hed9                  head           728.8390          734.0812          2.785015    
 hed10                 head           730.6690          729.4626         0.8416270    
 hed11                 head           729.4910          732.2072         0.4707897    
 hed12                 head           731.1540          731.7125         1.3036319E-02
 hed13                 head           730.2110          732.3913         1.0461806E-02
 hed14                 head           742.4660          740.2147          0.000000    
 hed15                 head           742.8020          741.4540          0.000000    
 hed16                 head           725.9100          724.7305         8.8478343E-02
 hed17                 head           726.3310          725.3983          0.000000    
 hed18                 head           733.8950          730.6583          0.000000    
 hed19                 head           736.5480          740.3699          0.000000    
 hed20                 head           739.8420          740.2182          0.000000    
 hed21                 head           740.4710          741.3810          0.000000    
 hed22                 head           738.6350          739.4371          0.000000    
 hed23                 head           732.8020          733.3082         3.6921484E-02
 hed24                 head           736.0200          734.8208          0.000000    
 hed25                 head           736.2460          735.7424          0.000000    
 hed26                 head           742.9290          741.5782          0.000000    
 hed27                 head           723.8110          727.7823         3.6141436E-03
 hed28                 head           733.0120          733.7987         1.6055917E-02
 hed29                 head           744.2920          745.3619          0.000000    
 hed30                 head           722.8460          723.5105          0.000000    
 hed31                 head           726.3850          724.8397          0.000000    
 hed32                 head           741.1900          739.0102          0.000000    
 hed33                 head           740.5400          737.1043          0.000000    
 hed34                 head           732.3810          733.6843         1.3668967E-02
 hed35                 head           728.1530          728.4279         2.1010268E-03
 hed36                 head           740.5880          738.2377          0.000000    
 hed37                 head           736.9970          736.2040          0.000000    
 hed38                 head           737.1800          735.1304         2.1967011E-02
 hed39                 head           738.5940          740.0192          0.000000    
 hed40                 head           738.2300          738.9612          0.000000    
 hed41                 head           740.0730          737.0610          0.000000    
 hed42                 head           734.6050          734.6685          0.000000    
 hed43                 head           732.9470          733.8770          0.000000    
 hed44                 head           725.7510          727.8788         2.2606643E-02
 hed45                 head           732.9880          733.9627          0.000000    
 hed46                 head           737.6360          740.5413          0.000000    
 hed47                 head           731.0000          732.1287         6.3135999E-02
 dr0                   drain         -17.57550         -6.003059         4.8741699E-02
 dr1                   drain         -15.75190         -12.39137         0.1556399    
 dr2                   drain         -13.06320         -1.188949         2.2531846E-02
 dr3                   drain         -15.50850        -0.6472010         1.2447635E-02
 dr4                   drain         -13.80930         -10.34998         0.6822224    
 dr5                   drain         -30.12140         -35.55552         9.6587352E-02
 dr6                   drain         -61.95060         -3.996444         5.9481329E-04
 dr7                   drain         -15.31100         -14.09335         5.6550366E-02
 dr8                   drain         -12.91870         -4.817050         2.4470243E-02
 dr9                   drain         -61.98970         -61.75003         1.6182938E-02
 gb0                   ghb            5.818300          5.258287         0.3251416    
 gb1                   ghb            4.832170          6.909763         0.1696519    
 gb2                   ghb            8.997060         0.7735308         5.5375150E-03
 gb3                   ghb            6.861130          11.08590         8.3500187E-02
 gb4                   ghb            5.284930          3.430785         3.1597857E-03
 gb5                   ghb            6.714000          4.974844         4.8477670E-03
 gb6                   ghb            11.93770          13.16982         2.2331444E-02
 gb7                   ghb            12.52320          16.67314         5.4497133E-02
 gb8                   ghb            34.74350          5.740949         2.2360080E-04
 gb9                   ghb            28.02300          49.61651         5.6388717E-03
 gb10                  ghb            5.017190          14.40287         5.8935031E-02
 gb11                  ghb            5.014190          2.842055         1.1905972E-03
 gb12                  ghb           -3.152270         -3.231491         2.2046281E-03
 gb13                  ghb            4.390830          3.657805         1.2560695E-02
 gb14                  ghb            10.29370         0.1621287         1.4098265E-03
 gb15                  ghb            5.336520          9.276665         3.2763756E-02
 gb16                  ghb            5.447260          17.52651         5.7840307E-02
 ch0                   const_head     3.491910          3.302693         2.6893067E-02
 ch1                   const_head    -4.095770         -9.064584         1.7719491E-02
 ch2                   const_head    0.5449270         -1.333310         0.1224282    
 ch3                   const_head    0.4644570        -0.7602145         6.7886989E-02
 ch4                   const_head    -1.663130         -17.61026         5.4278284E-02
 ch5                   const_head    0.5477960         0.4793047         3.2069181E-03
 ch6                   const_head   -1.1685890E-02      8.630087         1.6200260E-02
 ch7                   const_head     9.451800          4.994998         4.1226187E-04
