 Name                 Group          Measured         Modelled         Residual         Weight       Weight*Measured    Weight*Modelled  Weight*Residual  Measurement_sd   Natural_weight
 hed33                head           740.5400         737.1043         3.435700        9.4199810E-02     69.75873         69.43509        0.3236423         6.121558        0.1633571    
 hed34                head           732.3810         733.6843        -1.303300        0.2467250         180.6967         181.0183       -0.3215567         2.337216        0.4278595    
 hed35                head           728.1530         728.4279       -0.2749000        0.1035450         75.39660         75.42507       -2.8464521E-02     5.569073        0.1795631    
 hed36                head           740.5880         738.2377         2.350300        9.4199810E-02     69.76325         69.54185        0.2213978         6.121558        0.1633571    
 hed37                head           736.9970         736.2040        0.7930000        0.2058280         151.6946         151.5314        0.1632216         2.801609        0.3569377    
 hed38                head           737.1800         735.1304         2.049600        0.1965850         144.9185         144.5156        0.4029206         2.933335        0.3409089    
 hed39                head           738.5940         740.0192        -1.425200        0.1491670         110.1739         110.3864       -0.2125928         3.865799        0.2586787    
 hed40                head           738.2300         738.9612       -0.7312000        0.1620460         119.6272         119.7457       -0.1184880         3.558555        0.2810129    
 hed41                head           740.0730         737.0610         3.012000        0.1059440         78.40629         78.08719        0.3191033         5.442966        0.1837233    
 hed42                head           734.6050         734.6685       -6.3500000E-02    0.2939910         215.9673         215.9859       -1.8668428E-02     1.961453        0.5098260    
 hed43                head           732.9470         733.8770       -0.9300000        0.2717830         199.2025         199.4553       -0.2527582         2.121728        0.4713139    
 hed44                head           725.7510         727.8788        -2.127800        5.3768200E-02     39.02232         39.13673       -0.1144080         10.72473        9.3242407E-02
 hed45                head           732.9880         733.9627       -0.9747000        0.2717830         199.2137         199.4786       -0.2649069         2.121728        0.4713139    
 hed46                head           737.6360         740.5413        -2.905300        0.1800520         132.8128         133.3359       -0.5231051         3.202684        0.3122381    
 hed47                head           731.0000         732.1287        -1.128700        0.1922310         140.5209         140.7378       -0.2169711         2.999774        0.3333584    
 dr0                  drain         -17.57550        -6.003059        -11.57244        3.7636030E-02   -0.6614720       -0.2259313       -0.4355407         15.32174        6.5266720E-02
 dr1                  drain         -15.75190        -12.39137        -3.360530        3.4192300E-02   -0.5385937       -0.4236894       -0.1149042         16.86490        5.9294757E-02
 dr2                  drain         -13.06320        -1.188949        -11.87425        2.9336520E-02   -0.3832288       -3.4879626E-02   -0.3483492         19.65637        5.0874081E-02
 dr3                  drain         -15.50850       -0.6472010        -14.86130        3.4192300E-02   -0.5302713       -2.2129291E-02   -0.5081420         16.86490        5.9294757E-02
 dr4                  drain         -13.80930        -10.34998        -3.459320        3.0611880E-02   -0.4227286       -0.3168323       -0.1058963         18.83745        5.3085753E-02
 dr5                  drain         -30.12140        -35.55552         5.434120        4.6207840E-02    -1.391845        -1.642944        0.2510989         12.47948        8.0131569E-02
 dr6                  drain         -61.95060        -3.996444        -57.95416        4.8229490E-03   -0.2987846       -1.9274646E-02   -0.2795099         119.5637        8.3637424E-03
 dr7                  drain         -15.31100        -14.09335        -1.217650        3.3422750E-02   -0.5117357       -0.4710385       -4.0697212E-02     17.25321        5.7960238E-02
 dr8                  drain         -12.91870        -4.817050        -8.101650        2.9336520E-02   -0.3789897       -0.1413155       -0.2376742         19.65637        5.0874081E-02
 dr9                  drain         -61.98970        -61.75003       -0.2396700        4.8229490E-03   -0.2989732       -0.2978172       -1.1559162E-03     119.5637        8.3637424E-03
 gb0                  ghb            5.818300         5.258287        0.5600130        2.7088960E-02    0.1576117        0.1424415        1.5170170E-02     21.28726        4.6976463E-02
 gb1                  ghb            4.832170         6.909763        -2.077593        2.4480690E-02    0.1182949        0.1691558       -5.0860910E-02     23.55529        4.2453318E-02
 gb2                  ghb            8.997060        0.7735308         8.223529        3.4148630E-02    0.3072373        2.6415017E-02    0.2808223         16.88646        5.9219027E-02
 gb3                  ghb            6.861130         11.08590        -4.224770        2.9539070E-02    0.2026714        0.3274672       -0.1247958         19.52159        5.1225334E-02
 gb4                  ghb            5.284930         3.430785         1.854145        2.5712840E-02    0.1358906        8.8215226E-02    4.7675334E-02     22.42652        4.4590057E-02
 gb5                  ghb            6.714000         4.974844         1.739156        2.9539070E-02    0.1983253        0.1469523        5.1373051E-02     19.52159        5.1225334E-02
 gb6                  ghb            11.93770         13.16982        -1.232120        2.9539070E-02    0.3526286        0.3890242       -3.6395679E-02     19.52159        5.1225334E-02
 gb7                  ghb            12.52320         16.67314        -4.149940        2.7845460E-02    0.3487143        0.4642713       -0.1155570         20.70893        4.8288351E-02
 gb8                  ghb            34.74350         5.740949         29.00255        2.1837190E-04    7.5870041E-03    1.2536619E-03    6.3333422E-03     2640.677        3.7869078E-04
 gb9                  ghb            28.02300         49.61651        -21.59351        2.1894090E-03    6.1353808E-02    0.1086308       -4.7277025E-02     263.3814        3.7967752E-03
 gb10                 ghb            5.017190         14.40287        -9.385680        2.4480690E-02    0.1228243        0.3525922       -0.2297679         23.55529        4.2453318E-02
 gb11                 ghb            5.014190         2.842055         2.172135        2.4480690E-02    0.1227508        6.9575467E-02    5.3175364E-02     23.55529        4.2453318E-02
 gb12                 ghb           -3.152270        -3.231491        7.9221000E-02    7.9059410E-03   -2.4921661E-02   -2.5547977E-02    6.2631655E-04     72.93877        1.3710129E-02
 gb13                 ghb            4.390830         3.657805        0.7330250        2.2834340E-02    0.1002617        8.3523563E-02    1.6738142E-02     25.25362        3.9598291E-02
 gb14                 ghb            10.29370        0.1621287         10.13157        3.2769240E-02    0.3373167        5.3128343E-03    0.3320039         17.59728        5.6826950E-02
 gb15                 ghb            5.336520         9.276665        -3.940145        2.5712840E-02    0.1372171        0.2385294       -0.1013123         22.42652        4.4590057E-02
 gb16                 ghb            5.447260         17.52651        -12.07925        2.5712840E-02    0.1400645        0.4506563       -0.3105918         22.42652        4.4590057E-02
 ch0                  const_head     3.491910         3.302693        0.1892170        4.1253830E-02    0.1440547        0.1362487        7.8059260E-03     13.97809        7.1540547E-02
 ch1                  const_head    -4.095770        -9.064584         4.968814        1.6073830E-02   -6.5834711E-02   -0.1457026        7.9867872E-02     35.87506        2.7874517E-02
 ch2                  const_head    0.5449270        -1.333310         1.878237        6.4638950E-02    3.5223509E-02   -8.6183758E-02    0.1214073         8.921086        0.1120940    
 ch3                  const_head    0.4644570       -0.7602145         1.224672        6.4638950E-02    3.0022013E-02   -4.9139467E-02    7.9161480E-02     8.921086        0.1120940    
 ch4                  const_head    -1.663130        -17.61026         15.94713        3.7909960E-02   -6.3049192E-02   -0.6676043        0.6045551         15.21103        6.5741757E-02
 ch5                  const_head    0.5477960        0.4793047        6.8491300E-02    6.4638950E-02    3.5408958E-02    3.0981753E-02    4.4272057E-03     8.921086        0.1120940    
 ch6                  const_head   -1.1685890E-02     8.630087        -8.641773        5.8267280E-02   -6.8090502E-04    0.5028517       -0.5035326         9.896629        0.1010445    
 ch7                  const_head     9.451800         4.994998         4.456802        3.4516980E-03    3.2624759E-02    1.7241225E-02    1.5383535E-02     167.0626        5.9857803E-03
