 Name                 Group          Measured         Modelled         Residual         Weight       Weight*Measured    Weight*Modelled  Weight*Residual  Measurement_sd   Natural_weight
 hed1                 head           734.0000         735.7968        -1.796800        0.2939910         215.7894         216.3176       -0.5282430         1.961453        0.5098260    
 hed2                 head           735.2470         734.9453        0.3017000        0.2717830         199.8276         199.7456        8.1996931E-02     2.121728        0.4713139    
 hed3                 head           734.7760         734.4197        0.3563000        0.2821160         207.2921         207.1915        0.1005179         2.044016        0.4892329    
 hed4                 head           734.3900         734.4307       -4.0700000E-02    0.2939910         215.9041         215.9160       -1.1965434E-02     1.961453        0.5098260    
 hed5                 head           734.0000         735.6403        -1.640300        0.2939910         215.7894         216.2716       -0.4822334         1.961453        0.5098260    
 hed6                 head           729.1700         732.2993        -3.129300        0.1289410         94.01991         94.42340       -0.4034951         4.472198        0.2236037    
 hed7                 head           730.0570         733.5872        -3.530200        0.1587160         115.8717         116.4320       -0.5602992         3.633217        0.2752382    
 hed8                 head           730.4870         728.5661         1.920900        0.1725500         126.0455         125.7141        0.3314513         3.341928        0.2992285    
 hed9                 head           728.8390         734.0812        -5.242200        0.1209620         88.16182         88.79593       -0.6341070         4.767197        0.2097669    
 hed10                head           730.6690         729.4626         1.206400        0.1800520         131.5584         131.3412        0.2172147         3.202684        0.3122381    
 hed11                head           729.4910         732.2072        -2.716200        0.1401870         102.2652         102.6459       -0.3807759         4.113432        0.2431060    
 hed12                head           731.1540         731.7125       -0.5585000        0.1965850         143.7339         143.8437       -0.1097927         2.933335        0.3409089    
 hed13                head           730.2110         732.3913        -2.180300        0.1620460         118.3278         118.6811       -0.3533089         3.558555        0.2810129    
 hed14                head           742.4660         740.2147         2.251300        5.5777770E-02     41.41310         41.28753        0.1255725         10.33834        9.6727314E-02
 hed15                head           742.8020         741.4540         1.348000        4.9777430E-02     36.97477         36.90767        6.7099976E-02     11.58456        8.6321793E-02
 hed16                head           725.9100         724.7305         1.179500        5.5777770E-02     40.48964         40.42385        6.5789880E-02     10.33834        9.6727314E-02
 hed17                head           726.3310         725.3983        0.9327000        6.3921460E-02     46.42814         46.36852        5.9619546E-02     9.021221        0.1108497    
 hed18                head           733.8950         730.6583         3.236700        0.2939910         215.7585         214.8070        0.9515607         1.961453        0.5098260    
 hed19                head           736.5480         740.3699        -3.821900        0.2213660         163.0467         163.8927       -0.8460387         2.604960        0.3838830    
 hed20                head           739.8420         740.2182       -0.3762000        0.1133110         83.83224         83.87486       -4.2627598E-02     5.089088        0.1964989    
 hed21                head           740.4710         741.3810       -0.9100000        9.6500690E-02     71.45596         71.54378       -8.7815628E-02     5.975601        0.1673472    
 hed22                head           738.6350         739.4371       -0.8021000        0.1461150         107.9257         108.0429       -0.1171988         3.946546        0.2533861    
 hed23                head           732.8020         733.3082       -0.5062000        0.2626000         192.4338         192.5667       -0.1329281         2.195924        0.4553892    
 hed24                head           736.0200         734.8208         1.199200        0.2467250         181.5945         181.2987        0.2958726         2.337216        0.4278595    
 hed25                head           736.2460         735.7424        0.5036000        0.2332130         171.7021         171.5847        0.1174461         2.472631        0.4044276    
 hed26                head           742.9290         741.5782         1.350800        4.7795360E-02     35.50856         35.44400        6.4561972E-02     12.06497        8.2884575E-02
 hed27                head           723.8110         727.7823        -3.971300        2.8367440E-02     20.53267         20.64532       -0.1126556         20.32787        4.9193546E-02
 hed28                head           733.0120         733.7987       -0.7867000        0.2717830         199.2202         199.4340       -0.2138117         2.121728        0.4713139    
 hed29                head           744.2920         745.3619        -1.069900        3.0283670E-02     22.53989         22.57229       -3.2400499E-02     19.04160        5.2516586E-02
 hed30                head           722.8460         723.5105       -0.6645000        1.8848990E-02     13.62492         13.63744       -1.2525154E-02     30.59313        3.2687075E-02
 hed31                head           726.3850         724.8397         1.545300        6.3921460E-02     46.43159         46.33281        9.8777832E-02     9.021221        0.1108497    
 hed32                head           741.1900         739.0102         2.179800        8.0824470E-02     59.90629         59.73011        0.1761812         7.134592        0.1401622    
