,0
0,50646.57
1,10202.632
2,5502.465
3,4912.086
4,4610.744
5,3145.244
6,2620.6528
7,2259.6936
8,2012.376
9,1978.1162
10,1732.2911
11,1527.0756
12,1477.2627
13,1421.4348
14,1246.0469
15,1162.3593
16,1092.5767
17,1071.534
18,989.2673
19,938.77954
20,868.04785
21,825.93994
22,736.6004
23,727.67975
24,692.354
25,665.8599
26,650.66876
27,614.8346
28,596.4204
29,590.1419
30,557.6737
31,547.8476
32,536.8658
33,533.6848
34,529.5485
35,511.17288
36,499.49463
37,496.71484
38,484.43698
39,472.43524
40,470.03232
41,458.17917
42,450.59302
43,443.35513
44,435.27097
45,434.25827
46,429.7844
47,413.37762
48,409.29074
49,401.63373
50,393.97296
51,391.31055
52,387.68195
53,383.74246
54,377.7838
55,366.0454
56,363.68594
57,362.06317
58,357.0316
59,351.3803
60,344.22986
61,343.31573
62,339.318
63,330.87097
64,327.44147
65,323.24826
66,318.76968
67,317.67596
68,312.6938
69,303.1611
70,300.4466
71,294.77234
72,291.3682
73,288.68784
74,284.31818
75,284.11935
76,274.81998
77,272.1453
78,265.513
79,263.38293
80,259.79175
81,255.50273
82,251.01784
83,249.09512
84,246.9084
85,242.77303
86,237.32005
87,235.61232
88,231.15128
89,227.99577
90,227.07033
91,224.46999
92,221.96017
93,215.52495
94,212.30652
95,211.72322
96,208.41884
97,206.1364
98,202.15019
99,200.75813
100,198.11432
101,195.78546
102,193.92513
103,189.70576
104,187.21667
105,183.19829
106,182.77391
107,180.36597
108,177.70442
109,175.1097
110,173.07573
111,166.83629
112,163.28294
113,162.28862
114,159.5699
115,158.3508
116,155.76064
117,153.62497
118,151.62608
119,150.26433
120,147.02287
121,145.03098
122,143.4066
123,142.30818
124,139.50024
125,135.47404
126,134.17635
127,131.80476
128,131.53111
129,131.13203
130,127.4554
131,125.43049
132,122.545586
133,119.705574
134,118.78214
135,117.954254
136,117.09041
137,114.01349
138,113.48856
139,112.718506
140,109.60115
141,107.556244
142,106.513664
143,104.44789
144,102.441765
145,99.78916
146,98.42981
147,96.04608
148,93.539734
149,92.81199
150,92.0351
151,90.933685
152,90.1916
153,88.81254
154,87.50664
155,86.67742
156,84.36286
157,83.36733
158,82.29033
159,79.68271
160,77.98528
161,77.28771
162,76.01874
163,75.618484
164,73.30047
165,72.53565
166,71.93744
167,69.32942
168,68.07517
169,67.75422
170,67.150826
171,65.99856
172,65.51211
173,64.73453
174,63.516323
175,61.3956
176,60.83299
177,59.20269
178,59.005146
179,58.76451
180,56.7407
181,56.019226
182,54.98453
183,54.127785
184,53.87777
185,52.35281
186,51.97777
187,50.102364
188,49.248528
189,48.898033
190,46.828224
191,46.41926
192,45.184494
193,44.507774
194,44.01404
195,43.466877
196,42.610203
197,41.896202
198,41.118896
199,40.526424
200,39.644855
201,39.194008
202,38.56537
203,37.390377
204,36.3526
205,35.917683
206,35.73637
207,35.301193
208,34.13052
209,33.576435
210,33.104332
211,32.32377
212,31.663303
213,31.176077
214,30.501839
215,29.949957
216,29.820026
217,29.516788
218,28.64708
219,27.895704
220,27.338385
221,27.056454
222,26.486778
223,26.23997
224,25.682308
225,24.957935
226,24.314497
227,24.130539
228,23.443169
229,22.99385
230,22.277521
231,21.904177
232,21.731253
233,21.240467
234,20.47336
235,20.328705
236,20.11043
237,19.58104
238,19.445045
239,18.62052
240,18.13435
241,17.666971
242,17.525076
243,17.194096
244,16.921223
245,16.439575
246,16.164865
247,15.693221
248,15.59612
249,15.146425
250,14.997853
251,14.812849
252,14.427448
253,14.048543
254,13.72554
255,13.496813
256,13.03329
257,12.889771
258,12.531464
259,12.175119
260,12.063166
261,11.995173
262,11.782522
263,11.477366
264,11.432782
265,11.202421
266,10.782332
267,10.432614
268,10.405463
269,10.118076
270,9.878204
271,9.803701
272,9.499843
273,9.440891
274,9.147176
275,8.961899
276,8.804853
277,8.713189
278,8.378761
279,8.313112
280,8.235038
281,8.003204
282,7.9206567
283,7.743334
284,7.6654916
285,7.4698296
286,7.4276805
287,7.3581457
288,7.209132
289,7.1381273
290,6.827659
291,6.7542067
292,6.6480684
293,6.6445665
294,6.566966
295,6.430045
296,6.398971
297,6.2622085
298,6.2391706
299,6.1253514
300,5.997925
301,5.966106
302,5.880904
303,5.8107977
304,5.7518964
305,5.6773887
306,5.6448016
307,5.580864
308,5.538048
309,5.4238505
310,5.3555827
311,5.233201
312,5.214491
313,5.1747446
314,5.1058626
315,5.033925
316,4.98863
317,4.9582543
318,4.893793
319,4.7942595
320,4.7655344
321,4.691038
322,4.6069107
323,4.5888643
324,4.533428
325,4.444975
326,4.436414
327,4.3243423
328,4.3081326
329,4.2587104
330,4.217906
331,4.177725
332,4.167949
333,4.0913777
334,4.0305862
335,4.016799
336,3.932579
337,3.8944023
338,3.820371
339,3.7599473
340,3.7310808
341,3.6636434
342,3.6402545
343,3.6120007
344,3.5417285
345,3.5133657
346,3.4601066
347,3.4183698
348,3.385249
349,3.3427207
350,3.2748003
351,3.2235732
352,3.1758525
353,3.140115
354,3.0907958
355,3.0707798
356,3.0436966
357,3.0270317
358,2.9227474
359,2.9079075
360,2.8468237
361,2.8037724
362,2.7733643
363,2.727771
364,2.7168157
365,2.6609647
366,2.5741286
367,2.5512064
368,2.5281293
369,2.4834318
370,2.4535403
371,2.4043941
372,2.3985918
373,2.3620515
374,2.321702
375,2.2743266
376,2.2515533
377,2.2181642
378,2.1696126
379,2.1305633
380,2.105831
381,2.0584078
382,2.0240455
383,2.0028203
384,2.002513
385,1.9404191
386,1.882661
387,1.8571982
388,1.7969682
389,1.7838873
390,1.7533919
391,1.703296
392,1.6655205
393,1.6527194
394,1.6145426
395,1.5786628
396,1.5641235
397,1.5336891
398,1.5231271
399,1.4846572
400,1.4505606
401,1.4052721
402,1.3603855
403,1.35799
404,1.2970589
405,1.2957618
406,1.2158183
407,1.2059565
408,1.1919456
409,1.1411778
410,1.122166
411,1.1007594
412,1.0921744
413,1.0593817
414,1.0323249
415,1.0142334
416,0.9723498
417,0.93037224
418,0.9077044
419,0.86218
420,0.83097523
421,0.8065226
422,0.78580666
423,0.7571025
424,0.73629725
425,0.7034002
426,0.6930804
427,0.6831194
428,0.6128482
429,0.56508183
430,0.5430052
431,0.5249569
432,0.5165813
433,0.45138195
434,0.44743985
435,0.41479206
436,0.40536478
437,0.4021064
438,0.32388625
439,0.30150914
440,0.26117864
441,0.22866021
442,0.21858731
443,0.1678656
444,0.13929586
445,0.13121319
446,0.121302456
447,0.090832785
448,0.07129471
449,0.03178093
450,0.010505209
