X	Y	a	
250.0	4833.3333333333	1105.0	
750.0	4833.3333333333	1105.0	
1250.0	4833.3333333333	0.0	
1750.0	4833.3333333333	0.0	
2250.0	4833.3333333333	0.0	
2750.0	4833.3333333333	0.0	
3250.0	4833.3333333333	0.0	
3750.0	4833.3333333333	0.0	
4250.0	4833.3333333333	0.0	
4750.0	4833.3333333333	0.0	
250.0	4500.0	1105.0	
750.0	4500.0	1095.0	
1250.0	4500.0	1105.0	
1750.0	4500.0	0.0	
2250.0	4500.0	0.0	
2750.0	4500.0	1100.0	
3250.0	4500.0	1100.0	
3750.0	4500.0	1110.0	
4250.0	4500.0	0.0	
4750.0	4500.0	0.0	
250.0	4166.6666666667	0.0	
750.0	4166.6666666667	1100.0	
1250.0	4166.6666666667	1085.0	
1750.0	4166.6666666667	1080.0	
2250.0	4166.6666666667	1078.0	
2750.0	4166.6666666667	1076.0	
3250.0	4166.6666666667	1073.0	
3750.0	4166.6666666667	1090.0	
4250.0	4166.6666666667	0.0	
4750.0	4166.6666666667	0.0	
250.0	3833.3333333333	1110.0	
750.0	3833.3333333333	1100.0	
1250.0	3833.3333333333	1090.0	
1750.0	3833.3333333333	1085.0	
2250.0	3833.3333333333	1076.0	
2750.0	3833.3333333333	1080.0	
3250.0	3833.3333333333	1080.0	
3750.0	3833.3333333333	1070.0	
4250.0	3833.3333333333	1100.0	
4750.0	3833.3333333333	0.0	
250.0	3500.0	1110.0	
750.0	3500.0	1100.0	
1250.0	3500.0	1085.0	
1750.0	3500.0	1080.0	
2250.0	3500.0	1078.0	
2750.0	3500.0	1074.0	
3250.0	3500.0	1077.0	
3750.0	3500.0	1066.0	
4250.0	3500.0	1075.0	
4750.0	3500.0	1080.0	
250.0	3166.6666666667	1105.0	
750.0	3166.6666666667	1095.0	
1250.0	3166.6666666667	1080.0	
1750.0	3166.6666666667	1077.0	
2250.0	3166.6666666667	1073.0	
2750.0	3166.6666666667	1069.0	
3250.0	3166.6666666667	1070.0	
3750.0	3166.6666666667	1063.0	
4250.0	3166.6666666667	1085.0	
4750.0	3166.6666666667	1095.0	
250.0	2833.3333333333	1105.0	
750.0	2833.3333333333	1090.0	
1250.0	2833.3333333333	1075.0	
1750.0	2833.3333333333	1072.0	
2250.0	2833.3333333333	1070.0	
2750.0	2833.3333333333	1065.0	
3250.0	2833.3333333333	1065.0	
3750.0	2833.3333333333	1069.0	
4250.0	2833.3333333333	1090.0	
4750.0	2833.3333333333	0.0	
250.0	2500.0	0.0	
750.0	2500.0	1080.0	
1250.0	2500.0	1070.0	
1750.0	2500.0	1068.0	
2250.0	2500.0	1063.0	
2750.0	2500.0	1060.0	
3250.0	2500.0	1063.0	
3750.0	2500.0	1067.0	
4250.0	2500.0	1090.0	
4750.0	2500.0	0.0	
250.0	2166.6666666667	0.0	
750.0	2166.6666666667	1075.0	
1250.0	2166.6666666667	1065.0	
1750.0	2166.6666666667	1062.0	
2250.0	2166.6666666667	1058.0	
2750.0	2166.6666666667	1052.0	
3250.0	2166.6666666667	1055.0	
3750.0	2166.6666666667	1065.0	
4250.0	2166.6666666667	1090.0	
4750.0	2166.6666666667	0.0	
250.0	1833.3333333333	0.0	
750.0	1833.3333333333	1070.0	
1250.0	1833.3333333333	1060.0	
1750.0	1833.3333333333	1055.0	
2250.0	1833.3333333333	1046.0	
2750.0	1833.3333333333	1046.0	
3250.0	1833.3333333333	1044.0	
3750.0	1833.3333333333	1060.0	
4250.0	1833.3333333333	1088.0	
4750.0	1833.3333333333	1100.0	
250.0	1500.0	0.0	
750.0	1500.0	1055.0	
1250.0	1500.0	1050.0	
1750.0	1500.0	1045.0	
2250.0	1500.0	1041.0	
2750.0	1500.0	1042.0	
3250.0	1500.0	1040.0	
3750.0	1500.0	1050.0	
4250.0	1500.0	1075.0	
4750.0	1500.0	0.0	
250.0	1166.6666666667	1027.0	
750.0	1166.6666666667	1028.0	
1250.0	1166.6666666667	1028.0	
1750.0	1166.6666666667	1032.0	
2250.0	1166.6666666667	1032.0	
2750.0	1166.6666666667	1033.0	
3250.0	1166.6666666667	1032.0	
3750.0	1166.6666666667	1040.0	
4250.0	1166.6666666667	1060.0	
4750.0	1166.6666666667	0.0	
250.0	833.33333333333	997.0	
750.0	833.33333333333	1004.0	
1250.0	833.33333333333	1008.0	
1750.0	833.33333333333	1014.0	
2250.0	833.33333333333	1020.0	
2750.0	833.33333333333	1027.0	
3250.0	833.33333333333	1032.0	
3750.0	833.33333333333	1038.0	
4250.0	833.33333333333	1050.0	
4750.0	833.33333333333	0.0	
250.0	500.0	0.0	
750.0	500.0	1030.0	
1250.0	500.0	1040.0	
1750.0	500.0	1045.0	
2250.0	500.0	1050.0	
2750.0	500.0	1050.0	
3250.0	500.0	1050.0	
3750.0	500.0	1050.0	
4250.0	500.0	1044.0	
4750.0	500.0	0.0	
250.0	166.66666666667	0.0	
750.0	166.66666666667	0.0	
1250.0	166.66666666667	1080.0	
1750.0	166.66666666667	1080.0	
2250.0	166.66666666667	1080.0	
2750.0	166.66666666667	1080.0	
3250.0	166.66666666667	0.0	
3750.0	166.66666666667	0.0	
4250.0	166.66666666667	0.0	
4750.0	166.66666666667	0.0	
